description,price,size_m2,bedrooms,bathrooms,parking_spaces
"Jardim Botânico, Condomínio Quintas do Sol",450.000,"670,75",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",450.000,"670,75",-,-,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Asa Sul, SQS 306 Bloco I",2.200.000,154,3,2,-
"Asa Sul, SQS 109",2.200.000,"130,52",4,4,1
"Asa Sul, SQS 207",2.450.000,"175,15",3,3,1
"Asa Sul, SQS 207",2.450.000,"175,15",3,3,1
"Asa Norte, CLN 212 BLOCO A",155.000,"27,31",-,1,-
"Asa Sul, SAUS Quadra 5 Bloco N Lote 2",165.000,"38,12",-,1,1
"Asa Norte, SBN Quadra 2 Bloco J",165.000,33,-,1,-
"Lago Norte, CA 11",180.000,"24,56",-,1,1
Asa Norte,186.000,"33,08",-,1,-
Asa Norte,186.000,"33,08",-,1,-
"Asa Sul, SAUS Quadra 5 Bloco N Lote 2",190.000,"25,15",-,1,-
"Asa Norte, SRTVN",200.000,"32,9",-,1,-
"Asa Norte, SCN QUADRA 2",218.000,"34,15",-,1,-
"Asa Norte, SCN QUADRA 2",218.000,"34,15",-,1,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.150.000,344,3,5,4
"Jardim Botânico, Condomínio Ouro Vermelho I",1.150.000,344,3,5,4
"Jardim Botânico, Condomínio Ouro Vermelho I",1.200.000,350,3,4,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.200.000,350,3,4,2
"Sudoeste, CCSW 2",1.350.000,"92,3",1,2,1
"Sudoeste, CCSW 2",1.350.000,"92,3",1,2,1
"Asa Norte, SQN 308",1.360.000,"122,48",3,3,1
"Jardim Botânico, Condomínio Quintas Itaipú",1.400.000,272,4,5,2
"Jardim Botânico, Condomínio Quintas Itaipú",1.400.000,272,4,5,2
"Jardim Botânico, Condomínio Ouro Vermelho II",1.500.000,259,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",1.500.000,259,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho II",1.500.000,259,4,5,2
"Jardim Botânico, Condomínio Ouro Vermelho II",1.500.000,259,4,5,2
"Asa Sul, SQS 206 Bloco K",1.550.000,125,3,3,1
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Jardim Botânico, Condomínio Verde",990.000,368,3,4,2
"Jardim Botânico, Condomínio Jardim Botânico V",2.280.000,500,5,9,2
"Jardim Botânico, Condomínio Jardim Botânico V",2.280.000,500,5,9,2
"Park Way, SMPW QUADRA 25 CONJUNTO 1, 0",2.500.000,4.070,10,9,6
"Park Way, SMPW QUADRA 25 CONJUNTO 1, 0",2.500.000,4.070,10,9,6
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",5.900.000,347,4,6,4
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",5.900.000,347,4,6,4
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",850.000,180,2,2,4
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",850.000,180,2,2,4
"Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Asa Sul, SBS Quadra 1",115.000,"26,12",-,-,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Asa Sul, SEPS 705-905",150.000,"31,49",-,1,1
"Asa Sul, SRTVS Bloco K",240.000,"36,1",-,1,1
"Asa Sul, SEPS 714-914",240.000,"25,38",-,-,-
"Setor Sudoeste, CLSW 104 BLOCO B",300.000,37,1,1,-
"Sudoeste, CLSW 104 BLOCO B",300.000,37,1,1,-
"Sudoeste, CLSW 104 BLOCO B",300.000,37,1,1,-
"Setor Sudoeste, CLSW 104 BLOCO B",300.000,37,1,1,-
"Asa Norte, SGAN 906",300.000,"26,8",1,1,-
"Asa Norte, SMHN QUADRA 2",310.000,"29,62",-,1,1
"Asa Norte, SMHN QUADRA 2",310.000,"29,62",-,1,1
"Jardim Botânico, Ouro Vermelho II",320.000,1.000,-,-,-
"Jardim Botânico, Condomínio Morada de Deus",320.000,"711,37",-,-,-
"Jardim Botânico, Ouro Vermelho II",320.000,1.000,-,-,-
"Jardim Botânico, Condomínio Morada de Deus",320.000,"711,37",-,-,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
