description,price,size_m2,bedrooms,bathrooms,parking_spaces
"Jardim Botânico, Condomínio Quintas do Sol",450.000,"670,75",-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Quintas do Sol",450.000,"670,75",-,-,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Asa Sul, SQS 403",780.000,90,3,2,-
"Asa Norte, SQN 415",799.900,"76,72",3,2,-
"Asa Norte, SQN 211",1.550.000,"100,24",3,3,1
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.750.000,272,4,4,2
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.750.000,272,4,4,2
"Noroeste, SQNW 109",1.850.000,"150,34",3,3,3
"Noroeste, SQNW 109",1.850.000,"150,34",3,3,3
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.980.000,500,5,6,2
"Jardim Botânico, Condomínio Privê Morada Sul Etapa C",1.980.000,500,5,6,2
Jardim Botânico,1.990.000,320,3,5,4
Setor Habitacional Jardim Botânico,1.990.000,320,3,5,4
Setor Habitacional Jardim Botânico,1.990.000,320,3,5,4
Jardim Botânico,1.990.000,320,3,5,4
"Asa Sul, SQS 109",2.200.000,"130,52",4,4,1
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Asa Sul, SQS 306 Bloco I",2.200.000,154,3,2,-
"Asa Sul, SQS 109",2.200.000,"130,52",4,4,1
"Asa Sul, SQS 207",2.450.000,"175,15",3,3,1
"Asa Sul, SQS 207",2.450.000,"175,15",3,3,1
"Asa Norte, CLN 212 BLOCO A",155.000,"27,31",-,1,-
"Asa Sul, SAUS Quadra 5 Bloco N Lote 2",165.000,"38,12",-,1,1
"Asa Norte, SBN Quadra 2 Bloco J",165.000,33,-,1,-
"Lago Norte, CA 11",180.000,"24,56",-,1,1
Asa Norte,186.000,"33,08",-,1,-
Asa Norte,186.000,"33,08",-,1,-
"Asa Sul, SAUS Quadra 5 Bloco N Lote 2",190.000,"25,15",-,1,-
"Asa Norte, SRTVN",200.000,"32,9",-,1,-
"Asa Norte, SCN QUADRA 2",218.000,"34,15",-,1,-
"Asa Norte, SCN QUADRA 2",218.000,"34,15",-,1,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Sudoeste, CCSW 5",265.000,"26,78",-,1,-
"Asa Norte, SCN Quadra 1 Bloco F",280.000,"33,16",-,1,1
"Asa Norte, SCN Quadra 1 Bloco F",280.000,"33,16",-,1,1
"Asa Sul, SEPS 712-912",290.000,"26,14",1,1,1
"Asa Sul, SEPS 712-912",290.000,"26,14",1,1,1
"Jardins Mangueiral, Quadra QC 14 Rua B",315.000,"58,45",2,1,1
"Jardim Botânico, Condomínio Morada de Deus",320.000,"632,43",-,-,-
"Jardim Botânico, Condomínio Morada de Deus",320.000,"632,43",-,-,-
"Asa Norte, SHN QUADRA 2",325.000,38,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",350.000,720,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",350.000,720,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",350.000,720,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",350.000,720,-,-,-
"Zona Industrial, SGCV Lote 13",380.000,27,1,1,1
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"PARK SUL, SGCV Lote 13",380.000,27,1,1,1
"Zona Industrial, SGCV Lote 13",380.000,27,1,1,1
"PARK SUL, SGCV Lote 13",380.000,27,1,1,1
"Jardim Botânico, MORADA DE DEUS",380.000,"861,26",-,-,-
"Setor Habitacional Jardim Botânico, MORADA DE DEUS",380.000,"861,26",-,-,-
"Setor Habitacional Jardim Botânico, MORADA DE DEUS",380.000,"861,26",-,-,-
"Jardim Botânico, MORADA DE DEUS",380.000,"861,26",-,-,-
"Noroeste, CLNW 10-11 Lote C",470.000,"31,3",1,1,1
"Noroeste, CLNW 10-11 Lote C",470.000,"31,3",1,1,1
"Lago Norte, CA 9 (Centro de Atividades)",630.000,"53,32",2,1,1
"Jardins Mangueiral, Quadra QC 1 Rua H",649.000,"107,46",3,1,2
"Jardins Mangueiral, Quadra QC 1 Rua H",649.000,"107,46",3,1,2
"Sudoeste, CLSW 300B",670.000,"56,97",2,1,1
"Asa Sul, SDS Blocos R",780.000,200,-,2,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Asa Sul, SDS Blocos R",780.000,200,-,2,-
"Jardim Botânico, Condomínio Ouro Vermelho I",800.000,"174,88",2,2,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",800.000,"174,88",2,2,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",800.000,"174,88",2,2,4
"Jardim Botânico, Condomínio Ouro Vermelho I",800.000,"174,88",2,2,4
"Park Way, SMPW Quadra 5 Conjunto 14",980.000,180,3,3,4
"Park Way, SMPW Quadra 5 Conjunto 14",980.000,180,3,3,4
"Asa Sul, SQS 203 Bloco B",985.000,"74,47",2,2,1
PARK SUL,1.037.400,"79,8",3,2,2
"Park Way, SMPW QUADRA 22 CONJUNTO 3",1.080.000,2.000,-,-,-
Asa Sul,1.090.000,"92,26",3,2,-
"Sudoeste, QRSW 4 BLOCO A-6",1.150.000,"91,1",2,3,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.150.000,344,3,5,4
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.150.000,344,3,5,4
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Asa Norte, SQN 308",1.590.000,"122,48",3,2,1
"Jardim Botânico, Condomínio Ouro Vermelho I",1.600.000,400,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.600.000,400,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.600.000,400,4,5,2
"Jardim Botânico, Condomínio Ouro Vermelho I",1.600.000,400,4,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.680.000,"519,74",5,7,4
"Jardim Botânico, Condomínio Morada de Deus",1.680.000,"519,74",5,7,4
"Jardim Botânico, Condomínio Ouro Vermelho I",1.690.000,450,4,6,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.690.000,450,4,6,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",1.690.000,450,4,6,-
"Jardim Botânico, Condomínio Ouro Vermelho I",1.690.000,450,4,6,-
"Asa Norte, SQN 307",1.700.000,"123,93",3,3,1
"Asa Norte, SQN 115",1.750.000,"139,63",4,3,2
"PARK SUL, SGCV Lote 27",1.780.000,"120,6",3,5,2
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Taquari, Quadra 3",1.950.000,"431,16",3,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.999.000,380,5,7,2
"Jardim Botânico, Condomínio Morada de Deus",1.999.000,380,5,7,2
"Park Way, SMPW Quadra 8 Conjunto 4",2.000.000,351,4,6,4
"Park Way, SMPW Quadra 8 Conjunto 4",2.000.000,351,4,6,4
"Noroeste, SQNW 309",2.060.000,"127,24",3,3,2
"Asa Sul, SQS 206 Bloco K",2.088.000,"187,39",4,3,1
"Asa Sul, SQS 206 Bloco K",2.088.000,"187,39",4,3,1
"Asa Norte, SQN 304",2.190.000,"186,63",3,4,2
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",2.290.000,"178,16",3,2,2
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",2.290.000,"178,16",3,2,2
"Noroeste, SQNW 109 Bloco I",2.400.000,"158,5",2,4,3
"Taquari, Quadra 3 Conjunto 2",2.500.000,800,3,3,-
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",2.600.000,"171,99",2,4,3
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Park Way, SMPW QUADRA 3 CONJUNTO 5",2.650.000,2.500,4,4,12
"Park Way, SMPW QUADRA 3 CONJUNTO 5",2.650.000,2.500,4,4,12
"Jardim Botânico, Condomínio Solar de Brasília",2.790.000,500,6,8,3
"Jardim Botânico, Condomínio Solar de Brasília",2.790.000,500,6,8,3
"Lago Sul, Condomínio Lago Sul",3.000.000,500,4,8,3
"Setor Habitacional Jardim Botânico, Condomínio Lago Sul",3.000.000,500,4,8,3
"Park Way, SMPW QUADRA 28 CONJUNTO 1",3.000.000,740,4,5,5
"Setor Habitacional Jardim Botânico, Condomínio Lago Sul",3.000.000,500,4,8,3
"Lago Sul, Condomínio Lago Sul",3.000.000,500,4,8,3
"Park Way, SMPW QUADRA 28 CONJUNTO 1",3.000.000,740,4,5,5
"Park Way, SMPW QUADRA 15",3.190.000,"666,22",5,8,6
"Park Way, SMPW QUADRA 15",3.190.000,"666,22",5,8,6
"Asa Sul, SQS 313",3.200.000,"209,83",4,5,2
"Park Way, SMPW QUADRA 22",3.380.000,775,5,8,4
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Lago Sul, SHIS QI 28 Conjunto 7",4.500.000,1.200,-,-,-
"Lago Norte, SHIN QI 1",4.575.000,500,4,8,4
"Lago Norte, SHIN QL 4",4.700.000,"719,73",5,8,8
"Lago Norte, SHIN QL 4",4.700.000,"719,73",5,8,8
"Lago Sul, SHIS QI 5 Chácaras 1 a 6",5.950.000,"618,21",5,8,7
"Park Way, SMPW Quadra 4 Conjunto 3",6.800.000,950,7,10,7
"Park Way, SMPW Quadra 4 Conjunto 3",6.800.000,950,7,10,7
"Lago Norte, SHIN QL 10 Conjunto 1",8.000.000,1.875,-,-,-
"Lago Sul, SHIS QL 2",8.500.000,1.300,5,10,6
"Lago Sul, SHIS QL 2",8.500.000,1.300,5,10,6
"Lago Sul, SHIS QI 26",10.000.000,900,6,10,2
"Jardim Botânico, Condomínio Verde",990.000,368,3,4,2
"Setor Habitacional Jardim Botânico, Condomínio Verde",990.000,368,3,4,2
"Setor Habitacional Jardim Botânico, Condomínio Verde",990.000,368,3,4,2
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Jardim Botânico, Condomínio Verde",990.000,368,3,4,2
"Jardim Botânico, Condomínio Jardim Botânico V",2.280.000,500,5,9,2
"Jardim Botânico, Condomínio Jardim Botânico V",2.280.000,500,5,9,2
"Park Way, SMPW QUADRA 25 CONJUNTO 1, 0",2.500.000,4.070,10,9,6
"Park Way, SMPW QUADRA 25 CONJUNTO 1, 0",2.500.000,4.070,10,9,6
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",5.900.000,347,4,6,4
"PARK SUL, SGCV (St Garagens e Conces de Veículos)",5.900.000,347,4,6,4
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",850.000,180,2,2,4
"Jardim Botânico, Condomínio Privê Morada Sul Etapa A",850.000,180,2,2,4
"Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Setor Habitacional Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Jardim Botânico, Condomínio Ouro Vermelho I",430.000,1.000,-,-,-
"Asa Sul, SBS Quadra 1",115.000,"26,12",-,-,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Jardim Botânico, Condomínio Jardim Botânico VI",1.320.000,377,4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Jardim Botânico VI",1.320.000,377,4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Jardim Botânico VI",1.320.000,377,4,3,2
"Jardim Botânico, Condomínio Jardim Botânico VI",1.320.000,377,4,3,2
"Asa Norte, SHTN Trecho 1",1.350.000,"102,2",2,2,2
"Asa Norte, SHTN Trecho 1",1.350.000,"102,2",2,2,2
"Jardim Botânico, Condomínio Ouro Vermelho II",1.350.000,220,3,4,3
"Jardim Botânico, Condomínio Ouro Vermelho II",1.350.000,220,3,4,3
"Asa Norte, SQN 112",1.369.000,"131,79",2,2,1
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.390.000,"287,02",4,5,3
"Noroeste, CLNW 10-11 Lote K",1.390.000,"79,48",-,-,2
"Asa Sul, SQS 311",1.400.000,"114,68",3,3,1
"Park Way, SMPW QUADRA 15 CONJUNTO 3",1.400.000,2.125,-,-,-
"Park Way, SMPW QUADRA 22",1.400.000,"2.121,15",-,-,-
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Sudoeste, CCSW 1 LOTE 2 BLOCO A",1.690.000,"138,48",3,2,1
"Jardim Botânico, Condomínio Morada de Deus",1.690.000,350,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.690.000,350,4,5,2
"Setor Habitacional Jardim Botânico, Condomínio Morada de Deus",1.690.000,350,4,5,2
"Jardim Botânico, Condomínio Morada de Deus",1.690.000,350,4,5,2
"Sudoeste, CCSW 1 LOTE 2 BLOCO A",1.690.000,"138,48",3,2,1
"Jardim Botânico, Condomínio Morada de Deus",1.700.000,"502,75",4,5,6
"Granja do Torto, Granja do Torto",1.700.000,600,5,4,4
"Jardim Botânico, Condomínio Morada de Deus",1.700.000,"502,75",4,5,6
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.700.000,388,5,6,6
"Granja do Torto, Granja do Torto",1.700.000,600,5,4,4
"Asa Norte, SQN 109 BLOCO H",1.730.000,"109,57",3,2,2
"Asa Norte, SQN 114 BLOCO B",1.800.000,"173,6",3,2,-
"PARK SUL, SGCV Lote 27",1.840.000,"120,6",3,5,2
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
"Noroeste, SQNW 108 Bloco I",1.860.496,"153,76",3,4,2
"Noroeste, SQNW 108 Bloco I",1.860.496,"153,76",3,4,2
"Octogonal, AOS 6",1.890.000,"124,57",4,3,1
"Octogonal, AOS 6",1.890.000,"124,57",4,3,1
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.890.000,336,3,4,2
"Jardim Botânico, Condominio Residencial Santa Monica - Alameda das Paineiras",1.890.000,"436,7",4,5,2
"Jardim Botânico, Condominio Residencial Santa Monica - Alameda das Paineiras",1.890.000,"436,7",4,5,2
"Noroeste, SQNW 109 Bloco J",1.900.000,109,3,2,2
"Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.900.000,300,4,4,4
"Setor Habitacional Jardim Botânico, Condomínio Estância Quintas da Alvorada",1.900.000,300,4,4,4
"Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.900.000,358,4,3,2
"Setor Habitacional Jardim Botânico, Condomínio Condomínio Ecológico Parque do Mirante",1.900.000,358,4,3,2
"Park Way, SMPW QUADRA 12",1.900.000,"243,86",4,5,2
"Park Way, SMPW QUADRA 28",1.900.000,800,5,6,3
"{{ nomeBairro }}{{#if logradouroPublico}}, {{ logradouroPublico}}{{/if}}",paramTransacao,{{,{{#if,{{#if,{{#if
